loan_number,amount_borrowed,borrower_rate,prosper_rating,term,age_in_months,origination_date,days_past_due,principal_balance,service_fees_paid,principal_paid,interest_paid,prosper_fees_paid,late_fees_paid,debt_sale_proceeds_received,loan_status,loan_status_description,loan_default_reason,loan_default_reason_description,next_payment_due_date,next_payment_due_amount,co_borrower_application
1548838.3282225109,16241.114753809334,0.15656117847421921,A,29.22008079602009,6.7262712791855845,,-16.439825021815665,-7631.534846941686,-37.14320714490762,2456.018615351622,295.65085638811706,-4.936534843732705,-12.712229079703581,0.0,1.5300601603852308,COMPLETED,2.7009110572665613,PaidInFull,2022-01-03 00:00:00,508.4421570179343,
1728436.2208513394,13982.55395602312,0.15109899638169522,A,44.588504152077675,10.793383596311047,,0.7490401434017364,14712.269675359055,-94.82197747774126,6430.223189685539,-292.15765127221766,3.902751701997018,-4.573129964289634,0.0,2.702470693751261,DEFAULTED,2.496003388285775,PaidInFull,2021-07-16 00:00:00,439.736599566338,
1575303.905227899,10646.621689766633,0.11545027619917889,C,44.07847021857133,8.30750547784215,,-9.516162043191109,-9067.094689538284,-148.573146334542,7698.288448586025,547.6511156958584,14.3886510400351,-8.056593052791593,0.0,1.6853257641907526,DEFAULTED,2.7380406507732435,Bankruptcy,2022-02-28 00:00:00,307.4210686152759,
1621849.317331985,13153.30848071271,0.1884032484789569,C,55.03715557937771,6.807666848883385,,11.190628576551102,8306.461202398916,-12.849096729208838,-4323.161404702119,1129.0338549249786,6.152383915721593,-1.2075470130682806,0.0,2.6662741904749456,DEFAULTED,3.151824441547675,,2021-03-25 00:00:00,328.6466748702638,
1577598.9522043157,12577.932279433544,0.19554511257675752,AA,39.52889721850317,7.703459022149241,,21.717722033618234,17844.60565494278,21.645293823111615,5484.496269562146,694.193788294265,1.1225866942347449,-4.660950272833118,0.0,2.974446052138398,CURRENT,3.301683045025625,PaidInFull,2021-08-11 00:00:00,425.4966690783781,
1623144.44066215,4236.748071693186,0.08237849398881689,E,54.071123854387544,11.294609537209986,,5.858659017443118,9609.376878988163,-49.72307031690547,9513.625648694075,683.6193600021121,3.0769743659903055,-6.510209077437212,0.0,2.5848465419373317,CHARGEOFF,3.2557988441041816,PaidInFull,2021-05-04 00:00:00,662.0946887374097,
1639195.7904780994,18399.62574333103,0.22209798359734956,HR,33.64970927847281,11.345568799582148,,17.146355897177248,16442.319853986563,-201.72599382336358,-1058.7539023627992,281.3697304811408,-2.9287035350544195,5.987445720258691,0.0,0.7020073696506943,CHARGEOFF,3.4940562147590684,,2021-03-23 00:00:00,201.17846706751183,
1666918.091694913,17722.762786956086,0.10340173389123886,A,51.37124996898487,12.864772164515268,,-23.057416283065592,6380.0129454326325,-104.16067862938581,8218.075605512564,1294.141674861712,7.503945307860384,-9.2980760667939,0.0,2.7110534566345716,CANCELLED,3.16344108758675,Deceased,2022-02-22 00:00:00,330.6819353758184,
1589744.223545241,23544.727358245378,0.09182843291484546,AA,36.46920316962368,6.565785028346888,,-17.843899780327654,12600.42227940575,7.136068516406823,11493.120889881582,1247.38736311919,9.71790346136336,6.1098915382167895,0.0,0.46509053125382027,COMPLETED,3.564743054876817,,2021-02-19 00:00:00,106.98414465905441,
1597469.2184541011,16164.968850891744,0.11731014512740705,B,39.25542934436641,9.885273754509749,,-2.2060604827546064,5047.15511351483,-187.85175312537896,10597.234135287112,-463.1652047768955,-2.4901593602668153,-4.097887620282337,0.0,1.1394755755663504,COMPLETED,1.7222054527983268,Bankruptcy,2021-11-03 00:00:00,725.871207697008,
1616252.156328674,14287.653554106806,0.09460789063900937,HR,49.754785589896315,2.59472871395759,,22.897633445562775,12696.428953270453,-52.60104038427588,3556.028355774249,1441.4880751396972,0.9618448235843778,-4.774261198249093,0.0,1.1359380544873154,DEFAULTED,2.359573115838196,Deceased,2022-01-14 00:00:00,110.03026556440219,
1513244.3668833196,32521.44063150436,0.17693274109910828,B,44.746471306686324,5.818139861739195,,-6.493023486288284,23181.36533137114,-160.12041777906504,3942.050391571928,-284.54703005747047,0.4605023094503612,-0.37669245455509115,0.0,2.5120038636431525,COMPLETED,3.0357787822240763,PartialSettlement,2022-02-21 00:00:00,410.1259435072719,
1565713.580775014,4433.398013346228,0.1409996153019074,AA,29.379664777264367,9.805272620365878,,3.7947252680006445,6117.773089250286,-40.5262830496564,10392.520639170705,957.3113212643678,2.4079777071062987,4.652532773106214,0.0,1.775608516212785,CANCELLED,2.9499677235050346,PaidInFull,2022-01-05 00:00:00,-431.96402899833186,
1562917.0291441814,27565.86444957304,0.13933011559209516,B,59.326628137772545,7.909864151217714,,-2.720883392722108,10066.311919737092,14.480608575872296,3548.7768779941516,-373.121532004614,-3.778510678000195,-2.2385587088890864,0.0,1.3713352674347676,CANCELLED,3.3685923258614454,,2021-04-02 00:00:00,-155.09003839255632,
1701589.676339514,9194.874360509762,0.07299736010573182,AA,44.7872075626078,5.790412650007555,,4.799457360945883,5894.161103645877,-30.398181465956938,4201.766592928103,607.0122598926108,-5.205096223174367,4.4749321766523735,0.0,1.9130907119290084,CHARGEOFF,1.6731496337842564,Bankruptcy,2021-12-24 00:00:00,429.372367810928,
1643665.3286708614,30158.653637948853,0.06583791676381005,AA,42.56353707947164,5.192564281012283,,0.9974191374065636,8748.599083666668,-88.04003078247258,16941.082724829183,1784.6169585217742,4.626512856361568,1.0952943421172427,0.0,1.792433006236585,CURRENT,3.040633954181109,,2022-02-26 00:00:00,397.04347590289944,
1561244.5914035954,9620.69919850541,0.18568095184324301,A,44.92610797994762,2.7297482552690715,,3.037983841658505,10875.31195122758,-60.20943054174264,5267.2694979657,1950.141497433526,1.3353787318071744,-3.478086203508843,0.0,0.37522084163266833,CURRENT,2.6656533993803038,,2022-04-11 00:00:00,152.04270567156743,
